DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_PURPOSE_TRIP,TYPE_DESTINATION,TYPE_CULTURAL_ACTIVITY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_PURPOSE_TRIP,NOTE_TYPE_DESTINATION,NOTE_TYPE_CULTURAL_ACTIVITY,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2021,3620,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2022,4952,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2023,4237,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2019,283,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2020,73,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2021,104,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2022,177,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2023,325,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,TOT_VAC,TOTAL,ALL_CULT,2019,28208,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,TOT_VAC,TOTAL,ALL_CULT,2020,15495,,,,,,,,,,,,,
